Model,RTH1004
SerialNumber,105703
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2024-02-19 12:50:08.898166757,2024-02-19 12:50:08.898166757
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,0.5,
Horizontal Position,-2.5,
Reference Point,50 %,
Sample Interval,4e-05,
Record Length,125000,
Probe Setting,'1:1','0.1 V/A'
Vertical Unit,V,A
Vertical Scale,40,10
Vertical Position,-3.02,0
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH2
-5,-1.55294,-0.15686
-4.99996,-1.55294,0
-4.99992,-1.55294,0
-4.99988,-1.55294,0
-4.99984,-1.55294,0
-4.9998,-1.55294,0
-4.99976,-1.55294,0
-4.99972,-1.55294,-0.15686
-4.99968,-1.55294,-0.15686
-4.99964,-1.55294,0
-4.9996,-1.55294,0
-4.99956,-1.55294,-0.15686
-4.99952,-1.55294,-0.15686
-4.99948,-1.55294,0
-4.99944,-1.55294,0
-4.9994,-1.55294,0
-4.99936,-1.55294,0
-4.99932,-1.55294,-0.15686
-4.99928,-1.55294,0
-4.99924,-1.55294,0
-4.9992,-1.55294,0
-4.99916,-1.55294,0
-4.99912,-1.55294,-0.15686
-4.99908,-1.55294,0
-4.99904,-1.55294,0
-4.999,-1.55294,0
-4.99896,-1.55294,-0.15686
-4.99892,-1.55294,-0.15686
-4.99888,-1.55294,0
-4.99884,-1.55294,-0.15686
-4.9988,-1.55294,0
-4.99876,-1.55294,0
-4.99872,-1.55294,-0.15686
-4.99868,-1.55294,0
-4.99864,-1.55294,0
-4.9986,-1.55294,0
-4.99856,-1.55294,0
-4.99852,-1.55294,0
-4.99848,-1.55294,0
-4.99844,-1.55294,0
-4.9984,-1.55294,0
-4.99836,-1.55294,0
-4.99832,-1.55294,0
-4.99828,-1.55294,0
-4.99824,-1.55294,0
-4.9982,-1.55294,0
-4.99816,-1.55294,0
-4.99812,-1.55294,0
-4.99808,-1.55294,0
-4.99804,-1.55294,0
-4.998,-1.55294,0
-4.99796,-1.55294,0
-4.99792,-1.55294,-0.15686
-4.99788,-1.55294,0
-4.99784,-1.55294,0
-4.9978,-1.55294,-0.15686
-4.99776,-1.55294,0
-4.99772,-1.55294,0
-4.99768,-1.55294,0
-4.99764,-1.55294,0
-4.9976,-1.55294,0
-4.99756,-1.55294,0
-4.99752,-1.55294,0
-4.99748,-1.55294,0
-4.99744,-1.55294,0
-4.9974,-1.55294,0
-4.99736,-1.55294,0
-4.99732,-1.55294,0
-4.99728,-1.55294,0
-4.99724,-1.55294,0
-4.9972,-1.55294,-0.15686
-4.99716,-1.55294,-0.15686
-4.99712,-1.55294,-0.15686
-4.99708,-1.55294,-0.15686
-4.99704,-1.55294,0
-4.997,-1.55294,0
-4.99696,-1.55294,0
-4.99692,-1.55294,-0.15686
-4.99688,-1.55294,0
-4.99684,-1.55294,-0.15686
-4.9968,-1.55294,0
-4.99676,-1.55294,0
-4.99672,-1.55294,-0.15686
-4.99668,-1.55294,0
-4.99664,-1.55294,0
-4.9966,-1.55294,-0.15686
-4.99656,-1.55294,0
-4.99652,-1.55294,-0.15686
-4.99648,-1.55294,0
-4.99644,-1.55294,0
-4.9964,-1.55294,0
-4.99636,-1.55294,0
-4.99632,-1.55294,0
-4.99628,-1.55294,-0.15686
-4.99624,-1.55294,-0.15686
-4.9962,-1.55294,0
-4.99616,-1.55294,0
-4.99612,-1.55294,0
-4.99608,-1.55294,0
-4.99604,-1.55294,-0.15686
-4.996,-1.55294,-0.15686
-4.99596,-1.55294,0
-4.99592,-1.55294,0
-4.99588,-1.55294,-0.15686
-4.99584,-1.55294,-0.15686
-4.9958,-1.55294,-0.15686
-4.99576,-1.55294,0
-4.99572,-1.55294,0
-4.99568,-1.55294,-0.15686
-4.99564,-1.55294,0
-4.9956,-1.55294,0
-4.99556,-1.55294,0
-4.99552,-1.55294,0
-4.99548,-1.55294,0
-4.99544,-1.55294,0
-4.9954,-1.55294,-0.15686
-4.99536,-1.55294,-0.15686
-4.99532,-1.55294,0
-4.99528,-1.55294,-0.15686
-4.99524,-1.55294,-0.15686
-4.9952,-1.55294,0
-4.99516,-1.55294,-0.15686
-4.99512,-1.55294,-0.15686
-4.99508,-1.55294,-0.15686
-4.99504,-1.55294,-0.15686
-4.995,-1.55294,-0.15686
-4.99496,-1.55294,-0.15686
-4.99492,-1.55294,0
-4.99488,-1.55294,-0.15686
-4.99484,-1.55294,-0.15686
-4.9948,-1.55294,0
-4.99476,-1.55294,0
-4.99472,-1.55294,-0.15686
-4.99468,-1.55294,-0.15686
-4.99464,-1.55294,-0.15686
-4.9946,-1.55294,-0.15686
-4.99456,-1.55294,-0.15686
-4.99452,-1.55294,-0.15686
-4.99448,-1.55294,-0.15686
-4.99444,-1.55294,-0.15686
-4.9944,-1.55294,-0.15686
-4.99436,-1.55294,-0.15686
-4.99432,-1.55294,-0.15686
-4.99428,-1.55294,0
-4.99424,-1.55294,0
-4.9942,-1.55294,-0.15686
-4.99416,-1.55294,-0.15686
-4.99412,-1.55294,0
-4.99408,-1.55294,0
-4.99404,-1.55294,-0.15686
-4.994,-1.55294,0
-4.99396,-1.55294,0
-4.99392,-1.55294,0
-4.99388,-1.55294,0
-4.99384,-1.55294,-0.15686
-4.9938,-1.55294,-0.15686
-4.99376,-1.55294,0
-4.99372,-1.55294,0
-4.99368,-1.55294,0
-4.99364,-1.55294,0
-4.9936,-1.55294,0
-4.99356,-1.55294,0
-4.99352,-1.55294,0
-4.99348,-1.55294,0
-4.99344,-1.55294,-0.15686
-4.9934,-1.55294,0
-4.99336,-1.55294,0
-4.99332,-1.55294,-0.15686
-4.99328,-1.55294,-0.15686
-4.99324,-1.55294,-0.15686
-4.9932,-1.55294,0
-4.99316,-1.55294,0
-4.99312,-1.55294,-0.15686
-4.99308,-1.55294,0
-4.99304,-1.55294,0
-4.993,-1.55294,0
-4.99296,-1.55294,-0.15686
-4.99292,-1.55294,0
-4.99288,-1.55294,0
-4.99284,-1.55294,0
-4.9928,-1.55294,0
-4.99276,-1.55294,0
-4.99272,-1.55294,0
-4.99268,-1.55294,-0.15686
-4.99264,-1.55294,0
-4.9926,-1.55294,0
-4.99256,-1.55294,0
-4.99252,-1.55294,-0.15686
-4.99248,-1.55294,0
-4.99244,-1.55294,0
-4.9924,-1.55294,-0.15686
-4.99236,-1.55294,-0.15686
-4.99232,-1.55294,-0.15686
-4.99228,-1.55294,-0.15686
-4.99224,-1.55294,0
-4.9922,-1.55294,-0.15686
-4.99216,-1.55294,0
-4.99212,-1.55294,-0.15686
-4.99208,-1.55294,-0.15686
-4.99204,-1.55294,-0.15686
-4.992,-1.55294,0
-4.99196,-1.55294,0
-4.99192,-1.55294,0
-4.99188,-1.55294,0
-4.99184,-1.55294,0
-4.9918,-1.55294,-0.15686
-4.99176,-1.55294,-0.15686
-4.99172,-1.55294,0
-4.99168,-1.55294,0
-4.99164,-1.55294,0
-4.9916,-1.55294,0
-4.99156,-1.55294,0
-4.99152,-1.55294,0
-4.99148,-1.55294,-0.15686
-4.99144,-1.55294,-0.15686
-4.9914,-1.55294,0
-4.99136,-1.55294,0
-4.99132,-1.55294,-0.15686
-4.99128,-1.55294,0
-4.99124,-1.55294,0
-4.9912,-1.55294,-0.15686
-4.99116,-1.55294,-0.15686
-4.99112,-1.55294,0
-4.99108,-1.55294,-0.15686
-4.99104,-1.55294,-0.15686
-4.991,-1.55294,-0.15686
-4.99096,-1.55294,-0.15686
-4.99092,-1.55294,-0.15686
-4.99088,-1.55294,-0.15686
-4.99084,-1.55294,0
